App Name,Developer,Genre,In-app Purchases,Interactive Elements,Last Update,Minimum Age,Number of Installations,Number of Reviews,Offered By,Rating,Required Android Version,Size,Version
"Live Wallpapers, Screen Lock, Ringtones - W.Engine","Visit website
luzapplications@gmail.com
Privacy Policy
Italy Albisola Superiore (SV) Via Riccardo Poggi 28",WalloopPersonalization,₹95.00 - ₹399.00 per item,"Users Interact, In-App Purchases","February 26, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","5,000,000+","230,307 total",Walloop,4.6,5.0 and up,10.0M,6.1
"PicsApp Photo Editor: Collage Maker, Neon Effects","Visit website
lyrebirdstudio@gmail.com
Privacy Policy
765 Lynn Street, Herndon Virginia, WA 98005 United States",Lyrebird StudioPhotography,Completely free,No Interactive Elements,"May 17, 2020","Rated for 3+
Learn More","10,000,000+","136,455 total",Lyrebird Studio,4.4,Varies with device,Varies with device,1.4.6
m-Mitra,"Visit website
support@dolphindls.in
Privacy Policy
Gond Plot, R.T. Road, Near old Pawde Nursing Home, Wardha 442001, India",Dolphin Logic Systems (P) LimitedSocial,Completely free,No Interactive Elements,"February 6, 2019","Rated for 3+
Learn More","10,000+",140 total,Dolphin Logic Systems (P) Limited,4.3,4.1 and up,8.2M,3.1.4
Weather,"Visit website
support@macropinch.com
Privacy Policy
ul. Rakovska 128, et. 6 1000 Sofia Bulgaria",MacroPinchWeather,₹50.00 - ₹250.06 per item,Digital Purchases,"April 15, 2019","Rated for 3+
Learn More","10,000,000+","1,289,056 total",MacroPinch,4.4,4.0 and up,Varies with device,5.1.7
Eternium,"Visit website
help@makingfun.com
Privacy Policy
Making Fun, Inc. 4096 Piedmont Ave Ste 944 Oakland, CA 94611","Making Fun, Inc.Role Playing","₹65.00 - ₹6,700.00 per item",Digital Purchases,"June 26, 2020","Rated for 12+
Moderate Violence
Learn More","10,000,000+","2,147,694 total","Making Fun, Inc.",4.8,4.0 and up,104M,1.5.4
M Connect,"mobapps@ihitsindia.com
Privacy Policy",Malabar AppsBusiness,Completely free,No Interactive Elements,"June 24, 2020","Rated for 3+
Learn More","50,000+","1,613 total",Malabar Apps,4.8,4.1 and up,18M,2.1.6
M+Online,"Visit website
support@mplusonline.com.my
Privacy Policy",Malacca SecuritiesFinance,Completely free,No Interactive Elements,"June 5, 2020","Rated for 3+
Learn More","50,000+",896 total,Malacca Securities,4.2,4.4 and up,10M,2.3.4
BOOYAH!,"Visit website
ask@booyah.live
Privacy Policy
1 FUSIONOPOLIS PLACE, 17-10, GALAXIS, Singapore",GARENA INTERNATIONAL I PRIVATE LIMITEDEntertainment,"₹90.00 - ₹5,500.00 per item","Users Interact, In-App Purchases","June 20, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","10,000,000+","176,174 total",GARENA INTERNATIONAL I PRIVATE LIMITED,4.0,5.0 and up,14M,1.20.8
Drive for Speed: Simulator,"Visit website
TameikaHastin@gmail.com
Privacy Policy
9709 Kenneth Oren drive Charlotte, NC 28213 United States",Play365Racing,"₹20.00 - ₹3,487.99 per item",Digital Purchases,"June 23, 2020","Rated for 12+
Moderate Violence, Simulated Gambling
Learn More","50,000,000+","379,891 total",Play365,3.9,4.1 and up,114M,1.18.9
Drop Stack Ball - Fall Helix Blast Crash 3D,"Visit website
support@tazkan.com
Privacy Policy
Gempol blok 14, Cirebon, Jawa Barat, Indonesia",Tazkan GamesArcade,"₹95.00 - ₹1,300.00 per item",No Interactive Elements,"June 17, 2020","Rated for 3+
Learn More","50,000,000+","249,635 total",Tazkan Games,4.2,4.1 and up,27M,1.15
Calculator L,"Visit website
shakmak.iitk@gmail.com
B-06, Sector-37 Greater Noida-201308 India",Shakti MalikProductivity,₹63.02 per item,Digital Purchases,"May 10, 2015","Rated for 3+
Learn More","1,000,000+","5,142 total",Shakti Malik,4.4,4.3 and up,2.4M,1.1.3
Poweramp Music Player (Trial),"Visit website
poweramp.maxmpz@gmail.com
Privacy Policy
17-4 Semashko st. Mytischi, Moscow Region 141014, Russia",Max MPMusic & Audio,Completely free,No Interactive Elements,"June 13, 2020","Rated for 3+
Learn More","50,000,000+","1,337,179 total",Max MP,4.4,5.0 and up,Varies with device,Varies with device
"Anime Music Radio - J-pop, J-rock, Soundtracks","Visit website
maxim.xt@gmail.com
Privacy Policy
203 Turgeneva st., Anapa, Russian Federation",Maxim KablukaMusic & Audio,₹53.55 - ₹272.40 per item,In-App Purchases,"June 2, 2020","Rated for 12+
Mild Swearing
Learn More","1,000,000+","46,453 total",Maxim Kabluka,4.7,4.1 and up,7.4M,4.5.9
K-POP Korean Music Radio,"Visit website
maxim.xt@gmail.com
Privacy Policy
203 Turgeneva st., Anapa, Russian Federation",Maxim KablukaMusic & Audio,₹190.00 per item,In-App Purchases,"March 6, 2020","Rated for 12+
Mild Swearing
Learn More","100,000+","6,602 total",Maxim Kabluka,4.5,4.1 and up,7.1M,4.5.5
mCent Browser - Recharge Browser,"Visit website
support@mcentbrowser.com
Privacy Policy",mCentCommunication,Completely free,"Users Interact, Unrestricted Internet","March 21, 2019","Rated for 3+
Learn More","10,000,000+","727,154 total",mCent,2.9,5.0 and up,57M,0.13
MEAIndia,"Visit website
usxps1@mea.gov.in
Privacy Policy",Ministry of External Affairs - Government of IndiaTools,Completely free,Shares Info,"March 16, 2020","Rated for 3+
Learn More","100,000+","1,841 total",Ministry of External Affairs - Government of India,4.2,4.1 and up,15M,2.9
MakeupPlus - Your Own Virtual Makeup Artist,"Visit website
app@meitu.com
Privacy Policy
Unit 8106B, 81/F, International Commerce Center, 1 Austin Road West, Kowloon, Hong Kong",Meitu (China) LimitedPhotography,Completely free,No Interactive Elements,"May 27, 2020","Rated for 3+
Learn More","50,000,000+","850,941 total",Meitu (China) Limited,4.4,4.4 and up,62M,5.3.9
W몰 멤버십,"Visit website
wonshinwmall@gmail.com
Privacy Policy",(주) 원신더블유몰Shopping,Completely free,In-App Purchases,"October 4, 2019","Rated for 3+
Learn More","10,000+",0,(주) 원신더블유몰,-1,5.0 and up,1.7M,1.0.7
G - Web Browser 🌐 - Privacy internet browser,"Visit website
team.mercan@gmail.com
Privacy Policy
13 rue Thésée 91330 Yerres",Team MercanTools,"₹170.00 - ₹6,600.00 per item",Unrestricted Internet,"June 13, 2020","Rated for 3+
Learn More","100,000+",0,Team Mercan,-1,Varies with device,Varies with device,Varies with device
Drag n Merge: Bubble,"Visit website
help@metajoy.io
Privacy Policy
RM 1907,19F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HK",MetajoyPuzzle,Completely free,In-Game Purchases,"June 11, 2020","Rated for 3+
Learn More","500,000+","3,150 total",Metajoy,4.3,4.1 and up,47M,1.3.9
Drag n Merge: Quest,"Visit website
help@metajoy.io
Privacy Policy
RM 1907,19F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HK",MetajoyPuzzle,Completely free,In-Game Purchases,"June 24, 2020","Rated for 3+
Learn More","10,000+",226 total,Metajoy,4.4,4.1 and up,47M,1.7.1
M-Files,"Visit website
support@m-files.com
Privacy Policy
Hermiankatu 1 B, FI-33720 Tampere, Finland",M-Files CorporationBusiness,Completely free,No Interactive Elements,"June 22, 2020","Rated for 3+
Learn More","50,000+",309 total,M-Files Corporation,4.1,5.0 and up,91M,4.0.1
Rope Hero: Vice Town,"Visit website
feedback@naxeex.com
Privacy Policy
Arbuzova 1/1, 630117 Novosibirsk, Russia",Naxeex LLCAction,"₹15.00 - ₹8,300.00 per item",In-Game Purchases,"June 25, 2020","Rated for 18+
Extreme Violence, Simulated Gambling
Learn More","50,000,000+","742,374 total",Naxeex LLC,4.1,4.4 and up,87M,4.2
Vegas Crime Simulator,"Visit website
feedback@naxeex.com
Privacy Policy
Arbuzova 1/1, 630117 Novosibirsk, Russia",Naxeex LLCSimulation,"₹15.00 - ₹8,100.00 per item",In-Game Purchases,"May 18, 2020","Rated for 18+
Extreme Violence
Learn More","100,000,000+","1,078,866 total",Naxeex LLC,4.1,4.1 and up,92M,4.3.193.8
MHD F+G Series,"Visit website
mhd.tuning@gmail.com
Amelhauser Straße 27 26197 Großenkneten Germany",MHD Tuning UGAuto & Vehicles,"₹7,900.00 - ₹19,600.00 per item",No Interactive Elements,"June 19, 2020","Rated for 3+
Learn More","10,000+",555 total,MHD Tuning UG,4.7,4.4 and up,109M,version 2.21
KPOPTube - KPOP (K-POP) Music Video,"Visit website
kpoptube001@gmail.com
Privacy Policy",ㅇㄴㅃㄴEntertainment,Completely free,No Interactive Elements,"May 24, 2020","Rated for 3+
Learn More","10,000+",60 total,ㅇㄴㅃㄴ,3.3,4.4 and up,6.9M,1.1.6
M!Browser – Micromax Browser,"Visit website
playstore@micromaxinfo.com
Privacy Policy",Micromax InformaticsProductivity,Completely free,Unrestricted Internet,"August 13, 2019","Rated for 3+
Learn More","5,000,000+","2,826 total",Micromax Informatics,3.9,5.0 and up,5.0M,2.9.3
Microsoft Edge,"Visit website
edge_ef@microsoft.com
Privacy Policy
One Microsoft Way",Microsoft CorporationCommunication,Completely free,"Users Interact, Unrestricted Internet","June 24, 2020","Rated for 3+
Learn More","10,000,000+","178,664 total",Microsoft Corporation,4.5,4.4 and up,Varies with device,Varies with device
"Microsoft Word: Write, Edit & Share Docs on the Go","Visit website
officean@microsoft.com
Privacy Policy
One Microsoft Way",Microsoft CorporationProductivity,₹61.49 - ₹470.00 per item,"Users Interact, Digital Purchases","June 16, 2020","Rated for 3+
Learn More","1,000,000,000+","4,956,793 total",Microsoft Corporation,4.4,6.0 and up,Varies with device,16.0.13001.20166
Archery King,"Visit website
support@miniclip.com
Privacy Policy
Miniclip SA Case Postale 2671 2001 Neuchâtel Switzerland",Miniclip.comSports,"₹34.00 - ₹6,770.12 per item",Digital Purchases,"April 4, 2020","Rated for 3+
Learn More","50,000,000+","470,940 total",Miniclip.com,3.9,4.1 and up,71M,1.0.34.1
Carrom Pool,"Visit website
support@miniclip.com
Privacy Policy
Miniclip SA Case Postale 2671 2001 Neuchâtel Switzerland",Miniclip.comSports,"₹49.00 - ₹5,500.00 per item",Digital Purchases,"May 28, 2020","Rated for 3+
Learn More","100,000,000+","2,123,445 total",Miniclip.com,4.3,4.1 and up,Varies with device,Varies with device
8 Ball Pool,"Visit website
support@miniclip.com
Privacy Policy
Miniclip SA Case Postale 2671 2001 Neuchâtel Switzerland",Miniclip.comSports,"₹10.00 - ₹6,770.12 per item",Digital Purchases,"June 25, 2020","Rated for 3+
Learn More","500,000,000+","19,089,867 total",Miniclip.com,4.4,4.1 and up,59M,4.8.5
K-POP Idol TV,"miningstar05@gmail.com
Privacy Policy
대전광역시 서구 월평북로 95",Mining StarMusic & Audio,Completely free,No Interactive Elements,"May 15, 2020","Rated for 3+
Learn More","1,000+",0,Mining Star,-1,4.4 and up,8.1M,1.0.5
S⁺ Rewards,"Visit website
info@sino.com
Privacy Policy",Sino Estates Management LtdShopping,Completely free,No Interactive Elements,"June 5, 2020","Rated for 3+
Learn More","10,000+",92 total,Sino Estates Management Ltd,3.8,5.0 and up,35M,1.5.15
KERALA LOTTERY A TO Z,"Visit website
mjjabarullah@gmail.com
Privacy Policy",Money GurujiFinance,Completely free,No Interactive Elements,"August 22, 2019","Rated for 3+
Learn More","100,000+","3,362 total",Money Guruji,4.3,4.1 and up,4.0M,1.6
MJX H,"Visit website
jameswu@mjxrc.com
Privacy Policy","Guangdong Meijiaxin Innovative Technology Co., LtdEntertainment",Completely free,Users Interact,"July 24, 2019","Rated for 3+
Learn More","100,000+",282 total,"Guangdong Meijiaxin Innovative Technology Co., Ltd",3.4,4.0.3 and up,14M,10.14-build20190723
Q-See QC View,"Visit website
CS@dpsi-usa.com
Privacy Policy",DPSITools,Completely free,No Interactive Elements,"April 23, 2019","Rated for 3+
Learn More","100,000+",939 total,DPSI,3.0,4.0.3 and up,Varies with device,Varies with device
Q-See Plus,"Visit website
qseestore@gmail.com
Privacy Policy",DPSIVideo Players & Editors,Completely free,"Users Interact, Digital Purchases","March 25, 2020","Rated for 3+
Learn More","10,000+",101 total,DPSI,2.4,4.1 and up,56M,3.3.0
M*Modal Mobile Microphone,"Visit website
mmodalapps@gmail.com
Privacy Policy",MModal Inc.Medical,Completely free,No Interactive Elements,"February 27, 2019","Rated for 3+
Learn More","10,000+",39 total,MModal Inc.,3.7,4.4 and up,86M,3.5.1.139
M*Modal Fluency Mobile,"Visit website
mobileapps@mmodal.com
Privacy Policy",MModal Inc.Medical,Completely free,No Interactive Elements,"June 2, 2020","Rated for 3+
Learn More","5,000+",21 total,MModal Inc.,4.1,6.0 and up,Varies with device,4.55.0(2)
B.Ed | UP B.Ed Entrance Exam Solved Paper | Notes,"mo15april@gmail.com
Privacy Policy",MO ApplicationEducation,Completely free,No Interactive Elements,"February 16, 2020","Rated for 3+
Learn More","10,000+",169 total,MO Application,4.2,4.0.3 and up,5.4M,1.5
Cardi B Songs Offline (Best Collection),"mobfun.dev@gmail.com
Privacy Policy",Mobfun Inc.Music & Audio,Completely free,No Interactive Elements,"December 21, 2019","Rated for 16+
Strong Language
Learn More","5,000+",102 total,Mobfun Inc.,4.5,4.1 and up,83M,3.1
K LMS,"Visit website
service.bank@kotak.com
Privacy Policy",Kotak Mahindra Bank Ltd.Finance,Completely free,No Interactive Elements,"November 22, 2019","Rated for 3+
Learn More","10,000+",232 total,Kotak Mahindra Bank Ltd.,3.9,4.2 and up,13M,5.3
m-Power,"Visit website
Vinay.Bhardwaj2@vodafone.com
Privacy Policy",Vodafone Idea Ltd.Business,Completely free,Shares Location,"June 18, 2020","Rated for 3+
Learn More","100,000+","5,256 total",Vodafone Idea Ltd.,3.8,4.1 and up,19M,51.0.0
Cent m-passbook,"Visit website
centmobile2013@gmail.com
Privacy Policy",CENTRAL BANK OF INDIAFinance,Completely free,No Interactive Elements,"May 9, 2020","Rated for 3+
Learn More","1,000,000+","25,028 total",CENTRAL BANK OF INDIA,4.1,4.3 and up,20M,1.10
Mobile Legends: Bang Bang,"Visit website
MobileLegendsGame@gmail.com
Privacy Policy
UNIT 17, 9/F, TOWER A, NEW MADARIN PLAZA, No. 14 SCIENCE MUSEUM RD, TST, KL",MoontonAction,"₹10.00 - ₹7,900.00 per item","Users Interact, Digital Purchases","June 22, 2020","Rated for 7+
Mild Violence
Learn More","100,000,000+","20,196,973 total",Moonton,4.2,4.1 and up,99M,Varies with device
Synd e-Passbook,"Visit website
dit.nig@syndicatebank.co.in
Privacy Policy
CO:DIT, 2nd Floor, New Commercial Complex, National Games Village, Koramangala, Bangalore, Karnataka - 560047",Syndicate BankFinance,Completely free,No Interactive Elements,"April 30, 2020","Rated for 3+
Learn More","1,000,000+","26,162 total",Syndicate Bank,3.6,Varies with device,Varies with device,Varies with device
Dubsmash - Create & Watch Videos,"Visit website
playstore@dubsmash.com
Privacy Policy",Dubsmash IncVideo Players & Editors,Completely free,Users Interact,"June 23, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+","2,009,159 total",Dubsmash Inc,4.2,5.0 and up,15M,5.6.1
Pronounce English L and R!,"Visit website
feedback@mobinja.com
Privacy Policy
48 Jalan 34/70A Desa Sri Hartamas 50480 Kuala Lumpur Malaysia",MobinjaEducation,Completely free,Digital Purchases,"July 15, 2019","Rated for 3+
Learn More","1,000+",15 total,Mobinja,4.3,4.0 and up,17M,1.5
Ludo Championship,"Visit website
help@mobirix.com
Privacy Policy
#901 9F JEI PLATZ, 186 ,Gasan digital 1-ro Geumcheon-gu Seoul, Republic of Korea 08502 ASI|KR|KS013|SEOUL",mobirixBoard,"₹120.00 - ₹6,200.00 per item","Users Interact, In-Game Purchases","November 20, 2019","Rated for 3+
Learn More","10,000,000+","19,597 total",mobirix,4.2,4.1 and up,13M,1.1.4
File Commander - File Manager & Free Cloud,"Visit website
support-fc@mobisystems.com
Privacy Policy
11772 Sorrento Valley Road, Suite 260 San Diego, CA 92121, USA",MobiSystemsBusiness,"₹58.19 - ₹4,200.00 per item","Users Interact, Digital Purchases","June 24, 2020","Rated for 3+
Learn More","100,000,000+","869,893 total",MobiSystems,4.4,Varies with device,Varies with device,Varies with device
iLauncher os11 theme for phone x,"song.da@yahoo.com
Privacy Policy
Research Institute of Aerospace Science and technology innovation, No. 6, Keji South 10th Road, gaoxinyuan, Nanshan District, Shenzhen",sdtechPersonalization,Completely free,No Interactive Elements,"June 24, 2020","Rated for 3+
Learn More","1,000,000+","14,363 total",sdtech,4.0,4.0.3 and up,6.1M,3.10.3
B Bharat - आपके अपनेे शहर का न्यूज़ ऐप्प,"bundelkhandbharat@gmail.com
Privacy Policy
Lalitpur",MobnolNews & Magazines,₹80.00 per item,No Interactive Elements,"February 8, 2020","Rated for 3+
Learn More","10,000+",54 total,Mobnol,4.5,4.1 and up,8.4M,1.1
m-Indicator- Mumbai - Live Train Position,"Visit website
support@mobond.com
Privacy Policy",MobondTravel & Local,Completely free,No Interactive Elements,"May 1, 2020","Rated for 3+
Learn More","10,000,000+","414,526 total",Mobond,4.5,4.1 and up,17M,17.0.173
Mumbai (Data) - m-Indicator,"Visit website
support@mobond.com
Privacy Policy",MobondTravel & Local,Completely free,No Interactive Elements,"May 27, 2017","Rated for 3+
Learn More","1,000,000+","3,420 total",Mobond,4.3,2.3 and up,1.8M,92.0
"X Launcher - Cool, Multi-style Launcher 2020","Visit website
modelzapp2019@gmail.com
Privacy Policy
GZ Hong Jing Road No. 318",Model X AppsTools,"₹890.00 - ₹1,150.00 per item",In-App Purchases,"June 23, 2020","Rated for 3+
Learn More","500,000+","6,492 total",Model X Apps,4.5,4.0 and up,12M,6.3
EHTERAZ,"Visit website
ideveloper@moi.gov.qa
Privacy Policy",Ministry Of Interior - QatarHealth & Fitness,Completely free,No Interactive Elements,"June 24, 2020","Rated for 3+
Learn More","1,000,000+","19,023 total",Ministry Of Interior - Qatar,4.0,6.0 and up,34M,8.0.3
Coin Master,"Visit website
support@coinmastergame.com
Privacy Policy
Mikve Israel St 7, Tel Aviv-Yafo",Moon ActiveCasual,"₹10.00 - ₹25,000.00 per item",In-Game Purchases,"June 24, 2020","Rated for 12+
Simulated Gambling
Learn More","100,000,000+","3,349,757 total",Moon Active,4.4,4.1 and up,Varies with device,Varies with device
Ludo Club - Fun Dice Game,"Visit website
ludoclubsupport@moonfroglabs.com
Privacy Policy
16/3, Level 3, Adarsh Yellavarthy Centre Cambridge Road, Ulsoor Bangalore - 560008 Karnataka, India",MoonfrogBoard,"₹10.00 - ₹25,000.00 per item","Users Interact, In-Game Purchases","June 27, 2020","Rated for 3+
Learn More","50,000,000+","818,448 total",Moonfrog,4.4,4.1 and up,Varies with device,1.2.44
Moto Z Market,"Visit website
playstor@motorola.com
Privacy Policy
222 W. Merchandise Mart Plaza, Suite 1800, Chicago, IL 60654",Motorola Mobility LLC.Tools,Completely free,Digital Purchases,"March 4, 2020","Rated for 3+
Learn More","5,000,000+","1,474 total",Motorola Mobility LLC.,3.9,5.0 and up,3.8M,02.02.0047
Free Ringtones for iPhone X Xs X Max Android™,"Visit website
mohibatahir788@gmail.com
Privacy Policy
Scheme No 2 Shad Bagh Lahore",Free Music Download & Best Ringtones StudioMusic & Audio,₹220.00 per item,No Interactive Elements,"March 3, 2020","Rated for 3+
Learn More","100,000+",355 total,Free Music Download & Best Ringtones Studio,4.9,4.1 and up,6.3M,1.1.4
J Balvin Music Album,"Visit website
simardamanda646040@gmail.com
Privacy Policy
IDOL Store là cửa hàng chuyên cung cấp ứng dụng chỉnh sửa ảnh chuyên nghiệp. IDOL Store hứa hẹn sẽ mang tới cho bạn những ứng dụng tốt nhất. IDOL Store sẽ không làm bạn thất vọng. IDOL Store đưa các IDOL của bạn đến gần bạn hơn. Chỉ cần bạn muốn, IDOL Store sẽ giúp bạn. Bạn cần IDOL nào, hãy liên hệ IDOL Store để được tạo ứng dụng miễn phí để sử dụng. Hãy ủng hộ IDOL Store và đánh giá 5 sao, để lại bình luận hoặc yêu cầu để IDOL Store phục vụ bạn tốt hơn.",IDOL StoreMusic & Audio,Completely free,No Interactive Elements,"July 2, 2019","Rated for 3+
Learn More","10,000+",65 total,IDOL Store,4.6,4.0 and up,88M,1.5.6
Music Player,"Visit website
mytechnosound@gmail.com
Privacy Policy
Lins Louis Pallithekkethil Pazhuvil west P O Thrissure-680564",mytechnosoundMusic & Audio,₹130.00 per item,In-App Purchases,"March 6, 2020","Rated for 3+
Learn More","50,000,000+","1,075,692 total",mytechnosound,4.6,Varies with device,Varies with device,Varies with device
K Trade Fair,"Visit website
info@messe-duesseldorf.de
Privacy Policy",Messe Düsseldorf GmbHBusiness,Completely free,No Interactive Elements,"March 16, 2020","Rated for 3+
Learn More","10,000+",71 total,Messe Düsseldorf GmbH,3.4,6.0 and up,8.3M,5.0.5
MX Player,"Visit website
support@mxplayer.in
Privacy Policy
71 Robinson Road, #14-01, Singapore 068895",MX Media & Entertainment (formerly J2 Interactive)Video Players & Editors,Completely free,No Interactive Elements,"June 23, 2020","Rated for 3+
Learn More","500,000,000+","9,210,206 total",MX Media & Entertainment (formerly J2 Interactive),4.4,Varies with device,Varies with device,Varies with device
MX Player TV,"Visit website
support@mxplayer.in
Privacy Policy
71 Robinson Road, #14-01, Singapore 068895",MX Media & Entertainment (formerly J2 Interactive)Entertainment,Completely free,No Interactive Elements,"June 1, 2020","Rated for 12+
Moderate Violence, Sexual Innuendo, Mild Swearing
Learn More","500,000+",0,MX Media & Entertainment (formerly J2 Interactive),-1,5.0 and up,8.3M,1.3.9
Myntra Online Shopping App - Shop Fashion & more,"Visit website
appfeedback@myntra.com
Privacy Policy",MyntraShopping,Completely free,No Interactive Elements,"June 9, 2020","Rated for 3+
Learn More","50,000,000+","2,786,944 total",Myntra,4.4,Varies with device,Varies with device,Varies with device
Like-U,"Visit website
sysfortsystems@gmail.com
Privacy Policy
A1-2 Prasanna, Koumudi Society , Erandawane, Pune , Maharashtra 411004, India.",Sysfort SystemsDating,Completely free,Users Interact,"October 30, 2017","Rated for 18+
Learn More","10,000+",48 total,Sysfort Systems,4.0,4.4 and up,8.4M,1.0.0
"Narendra Modi - Latest News, Videos and Speeches","Visit website
nmapp@narendramodi.in
Privacy Policy
Bharatiya Janata Party, 6 A, Pandit Deen Dayal Upadhyaya Marg, New Delhi - 110002",NarendraModi.inNews & Magazines,Completely free,Users Interact,"January 8, 2020","Rated for 3+
Learn More","10,000,000+","258,867 total",NarendraModi.in,4.6,5.0 and up,52M,4.2.3
Amino K-Pop Russian Кпоп,"Visit website
support@aminoapps.com
Privacy Policy
22 W 19th St. 8th Floor New York, New York, 10011",Amino AppsSocial,Completely free,"Users Interact, Shares Location, In-App Purchases","December 13, 2019","Rated for 18+
Learn More","100,000+","9,241 total",Amino Apps,4.7,4.1 and up,101M,2.7.32310
K-Pop Amino in Arabic,"Visit website
ARsupport@aminoapps.com
Privacy Policy
22 W 19th St. 8th Floor New York, New York, 10011",Amino AppsSocial,Completely free,"Users Interact, Shares Location","December 13, 2019","Rated for 12+
Parental Guidance Recommended
Learn More","100,000+","26,394 total",Amino Apps,4.4,4.1 and up,100M,2.7.32310
Korean Beauty Amino for K-Beauty,"Visit website
support@aminoapps.com
Privacy Policy
22 W 19th St. 8th Floor New York, New York, 10011",Amino AppsSocial,Completely free,"Users Interact, Shares Location","December 13, 2019","Rated for 12+
Parental Guidance Recommended
Learn More","50,000+",784 total,Amino Apps,4.1,4.1 and up,100M,2.7.32310
KDRAMA Amino for K-Drama Fans,"Visit website
support@aminoapps.com
Privacy Policy
22 W 19th St. 8th Floor New York, New York, 10011",Amino AppsSocial,Completely free,"Users Interact, Shares Location","December 13, 2019","Rated for 12+
Parental Guidance Recommended
Learn More","100,000+","4,841 total",Amino Apps,4.0,4.1 and up,100M,2.7.32310
My Horse,"Visit website
support@munkyfun.com
Privacy Policy
415 Jackson St. Floor 1 San Francisco CA 94111",MunkyFun IncCasual,"₹53.14 - ₹6,010.40 per item","Shares Info, Digital Purchases","July 14, 2019","Rated for 3+
Learn More","10,000,000+","1,369,676 total",MunkyFun Inc,4.5,2.3.3 and up,9.9M,1.37.1
V LIVE,"Visit website
naver_market@naver.com
Privacy Policy
1588-3820 경기도 성남시 분당구 정자동 178-1 그린팩토리 16층",NAVER Corp.Entertainment,"₹75.00 - ₹3,700.00 per item",Users Interact,"June 19, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","50,000,000+","682,622 total",NAVER Corp.,4.6,Varies with device,Varies with device,Varies with device
"Welike - Status Download, Video Share","Visit website
nemodevteam@gmail.com
Privacy Policy",StarHaloEntertainment,Completely free,"Users Interact, Shares Location","April 28, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","10,000,000+","122,439 total",StarHalo,4.3,4.1 and up,14M,3.06.01
Ceres M,"Visit website
cs@neoulent.com
Privacy Policy
서울 강남구 삼성로 507 JS타워 4층 413호","NeoulEntertainment Co., LtdRole Playing","₹70.00 - ₹7,400.00 per item","Users Interact, Digital Purchases","June 18, 2020","Rated for 12+
Moderate Violence
Learn More","500,000+","20,365 total","NeoulEntertainment Co., Ltd",4.4,4.2 and up,78M,1.1.48
Identity V-2nd Anniversary,"Visit website
gameidentityv@service.netease.com
Privacy Policy
Unit 802, of 8th Floor of Chuang's Tower, 30-32 Connaught Road, Central, Hong Kong",NetEase GamesAction,"₹70.00 - ₹6,700.00 per item","Users Interact, Digital Purchases","June 23, 2020","Rated for 12+
Horror
Learn More","10,000,000+","581,402 total",NetEase Games,4.0,4.1 and up,98M,1.0.593383
"Knives Out-No rules, just fight!","Visit website
ft3402074@163.com
Privacy Policy
Unit 802, of 8th Floor of Chuang's Tower, 30-32 Connaught Road, Central, Hong Kong",NetEase GamesAdventure,"₹65.00 - ₹6,500.00 per item",Users Interact,"May 27, 2020","Rated for 16+
Strong Violence
Learn More","10,000,000+","493,272 total",NetEase Games,3.4,4.4 and up,80M,1.240.439446
Netflix,"Visit website
playstore@netflix.com
Privacy Policy
100 Winchester Circle Los Gatos, CA 95032-1815 USA","Netflix, Inc.Entertainment",₹500.00 - ₹821.73 per item,No Interactive Elements,"June 25, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","500,000,000+","9,183,299 total","Netflix, Inc.",4.4,5.0 and up,56M,7.61.0 build 21 34941
Netflix ,"Visit website
playstore@netflix.com
Privacy Policy
100 Winchester Circle Los Gatos, CA 95032-1815 USA","Netflix, Inc.Entertainment",Completely free,No Interactive Elements,"June 18, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","10,000,000+",659 total,"Netflix, Inc.",2.4,Varies with device,Varies with device,Varies with device
"Vault - Hide Pics & Videos, App Lock, Free Backup","Visit website
cs.cxzh.ltd@gmail.com
Privacy Policy
Room 1003, 10/F, Tower 1, Lippo Centre, 89 Queensway, Admiralty, Hong Kong",Wafer Co.Business,"₹80.00 - ₹2,500.00 per item",In-App Purchases,"June 15, 2020","Rated for 3+
Learn More","50,000,000+","1,169,559 total",Wafer Co.,4.4,Varies with device,Varies with device,6.9.08.22
Learn C,"Visit website
newageproductions.androidapps@gmail.com
Privacy Policy
61, E blk, Kamaraj 3rd St, Thanikachalam nagar, Ponniammanmedu, Chennai - 600110",Newage ProductionsEducation,Completely free,No Interactive Elements,"May 30, 2020","Rated for 3+
Learn More","10,000+",152 total,Newage Productions,4.2,5.0 and up,5.4M,1.4
MV Master - Best Video Maker & Photo Video Editor,"mvmaster-support@kwai.xyz
Privacy Policy",KWAI.XYZ STUDIOPhotography,Completely free,Shares Location,"June 23, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","50,000,000+","676,540 total",KWAI.XYZ STUDIO,4.5,4.4 and up,46M,5.0.0.10162
